FILE_NAME,PROMO_URL
111.gif,https://www.youtube.com/@KAN11
222.gif,https://www.youtube.com/watch?v=TyTMyfGhHWU
333.gif,https://www.youtube.com/watch?v=e4npT7elBpc
444.gif,https://www.youtube.com/watch?v=bS8xIToS1e4
